"iso","region","subregion","name"
288,"Africa","Western Africa","Ghana"
324,"Africa","Western Africa","Guinea"
624,"Africa","Western Africa","Guinea-Bissau"
430,"Africa","Western Africa","Liberia"
466,"Africa","Western Africa","Mali"
478,"Africa","Western Africa","Mauritania"
562,"Africa","Western Africa","Niger"
566,"Africa","Western Africa","Nigeria"
654,"Africa","Western Africa","Saint Helena"
686,"Africa","Western Africa","Senegal"
694,"Africa","Western Africa","Sierra Leone"
768,"Africa","Western Africa","Togo"
" ",,," "
19,,,"Americas"
419,,,"Latin America and the Caribbean"
" ",,," "
29,,,"Caribbean"
660,"Americas","Caribbean","Anguilla"
28,"Americas","Caribbean","Antigua and Barbuda"
533,"Americas","Caribbean","Aruba"
44,"Americas","Caribbean","Bahamas"
52,"Americas","Caribbean","Barbados"
535,"Americas","Caribbean","Bonaire, Saint Eustatius and Saba"
92,"Americas","Caribbean","British Virgin Islands"
136,"Americas","Caribbean","Cayman Islands"
192,"Americas","Caribbean","Cuba"
531,"Americas","Caribbean","Curaçao"
212,"Americas","Caribbean","Dominica"
214,"Americas","Caribbean","Dominican Republic"
308,"Americas","Caribbean","Grenada"
312,"Americas","Caribbean","Guadeloupe"
332,"Americas","Caribbean","Haiti"
388,"Americas","Caribbean","Jamaica"
474,"Americas","Caribbean","Martinique"
500,"Americas","Caribbean","Montserrat"
630,"Americas","Caribbean","Puerto Rico"
652,"Americas","Caribbean","Saint-Barthélemy"
659,"Americas","Caribbean","Saint Kitts and Nevis"
662,"Americas","Caribbean","Saint Lucia"
663,"Americas","Caribbean","Saint Martin (French part)"
670,"Americas","Caribbean","Saint Vincent and the Grenadines"
534,"Americas","Caribbean","Sint Maarten (Dutch part)"
780,"Americas","Caribbean","Trinidad and Tobago"
796,"Americas","Caribbean","Turks and Caicos Islands"
850,"Americas","Caribbean","United States Virgin Islands"
" ",,," "
13,,,"Central America"
84,"Americas","Central America","Belize"
188,"Americas","Central America","Costa Rica"
222,"Americas","Central America","El Salvador"
320,"Americas","Central America","Guatemala"
340,"Americas","Central America","Honduras"
484,"Americas","Central America","Mexico"
558,"Americas","Central America","Nicaragua"
591,"Americas","Central America","Panama"
" ",,," "
5,,,"South America"
32,"Americas","South America","Argentina"
68,"Americas","South America","Bolivia (Plurinational State of)"
76,"Americas","South America","Brazil"
152,"Americas","South America","Chile"
170,"Americas","South America","Colombia"
218,"Americas","South America","Ecuador"
238,"Americas","South America","Falkland Islands (Malvinas)"
254,"Americas","South America","French Guiana"
328,"Americas","South America","Guyana"
600,"Americas","South America","Paraguay"
604,"Americas","South America","Peru"
740,"Americas","South America","Suriname"
858,"Americas","South America","Uruguay"
862,"Americas","South America","Venezuela (Bolivarian Republic of)"
" ",,," "
21,,,"Northern America b/"
60,"Americas","Northern America","Bermuda"
124,"Americas","Northern America","Canada"
304,"Americas","Northern America","Greenland"
666,"Americas","Northern America","Saint Pierre and Miquelon"
840,"Americas","Northern America","United States of America"
" ",,," "
142,,,"Asia"
143,,,"Central Asia"
398,"Asia","Central Asia","Kazakhstan"
417,"Asia","Central Asia","Kyrgyzstan"
762,"Asia","Central Asia","Tajikistan"
795,"Asia","Central Asia","Turkmenistan"
860,"Asia","Central Asia","Uzbekistan"
" ",,," "
30,,,"Central Asia"
156,"Asia","Central Asia","China"
344,"Asia","Central Asia","China, Hong Kong Special Administrative Region"
446,"Asia","Central Asia","China, Macao Special Administrative Region"
408,"Asia","Central Asia","Democratic People's Republic of Korea"
392,"Asia","Central Asia","Japan"
496,"Asia","Central Asia","Mongolia"
410,"Asia","Central Asia","Republic of Korea"
" ",,," "
34,,,"Southern Asia"
4,"Asia","Southern Asia","Afghanistan"
50,"Asia","Southern Asia","Bangladesh"
64,"Asia","Southern Asia","Bhutan"
356,"Asia","Southern Asia","India"
364,"Asia","Southern Asia","Iran (Islamic Republic of)"
462,"Asia","Southern Asia","Maldives"
524,"Asia","Southern Asia","Nepal"
586,"Asia","Southern Asia","Pakistan"
144,"Asia","Southern Asia","Sri Lanka"
" ",,," "
35,,,"South-Eastern Asia"
96,"Asia","South-Eastern Asia","Brunei Darussalam"
116,"Asia","South-Eastern Asia","Cambodia"
360,"Asia","South-Eastern Asia","Indonesia"
418,"Asia","South-Eastern Asia","Lao People's Democratic Republic"
458,"Asia","South-Eastern Asia","Malaysia"
104,"Asia","South-Eastern Asia","Myanmar"
608,"Asia","South-Eastern Asia","Philippines"
702,"Asia","South-Eastern Asia","Singapore"
764,"Asia","South-Eastern Asia","Thailand"
626,"Asia","South-Eastern Asia","Timor-Leste"
704,"Asia","South-Eastern Asia","Viet Nam"
" ",,," "
145,,,"Western Asia"
51,"Asia","Western Asia","Armenia"
31,"Asia","Western Asia","Azerbaijan"
48,"Asia","Western Asia","Bahrain"
196,"Asia","Western Asia","Cyprus"
268,"Asia","Western Asia","Georgia"
368,"Asia","Western Asia","Iraq"
376,"Asia","Western Asia","Israel"
400,"Asia","Western Asia","Jordan"
414,"Asia","Western Asia","Kuwait"
422,"Asia","Western Asia","Lebanon"
275,"Asia","Western Asia","Occupied Palestinian Territory"
512,"Asia","Western Asia","Oman"
634,"Asia","Western Asia","Qatar"
682,"Asia","Western Asia","Saudi Arabia"
760,"Asia","Western Asia","Syrian Arab Republic"
792,"Asia","Western Asia","Turkey"
784,"Asia","Western Asia","United Arab Emirates"
887,"Asia","Western Asia","Yemen"
" ",,," "
150,,,"Europe"
151,,,"Eastern Europe"
112,"Europe","Eastern Europe","Belarus"
100,"Europe","Eastern Europe","Bulgaria"
203,"Europe","Eastern Europe","Czech Republic"
348,"Europe","Eastern Europe","Hungary"
616,"Europe","Eastern Europe","Poland"
498,"Europe","Eastern Europe","Republic of Moldova"
642,"Europe","Eastern Europe","Romania"
643,"Europe","Eastern Europe","Russian Federation"
703,"Europe","Eastern Europe","Slovakia"
804,"Europe","Eastern Europe","Ukraine"
" ",,," "
154,,,"Northern Europe"
248,"Europe","Northern Europe","Åland Islands"
830,"Europe","Northern Europe","Channel Islands"
208,"Europe","Northern Europe","Denmark"
233,"Europe","Northern Europe","Estonia"
234,"Europe","Northern Europe","Faeroe Islands"
246,"Europe","Northern Europe","Finland"
831,"Europe","Northern Europe","Guernsey"
352,"Europe","Northern Europe","Iceland"
372,"Europe","Northern Europe","Ireland"
833,"Europe","Northern Europe","Isle of Man"
832,"Europe","Northern Europe","Jersey"
428,"Europe","Northern Europe","Latvia"
440,"Europe","Northern Europe","Lithuania"
578,"Europe","Northern Europe","Norway"
680,"Europe","Northern Europe","Sark"
744,"Europe","Northern Europe","Svalbard and Jan Mayen Islands"
752,"Europe","Northern Europe","Sweden"
826,"Europe","Northern Europe","United Kingdom of Great Britain and Northern Ireland"
" ",,," "
39,,,"Southern Europe"
8,"Europe","Southern Europe","Albania"
20,"Europe","Southern Europe","Andorra"
70,"Europe","Southern Europe","Bosnia and Herzegovina"
191,"Europe","Southern Europe","Croatia"
292,"Europe","Southern Europe","Gibraltar"
300,"Europe","Southern Europe","Greece"
336,"Europe","Southern Europe","Holy See"
380,"Europe","Southern Europe","Italy"
470,"Europe","Southern Europe","Malta"
499,"Europe","Southern Europe","Montenegro"
620,"Europe","Southern Europe","Portugal"
674,"Europe","Southern Europe","San Marino"
688,"Europe","Southern Europe","Serbia"
705,"Europe","Southern Europe","Slovenia"
724,"Europe","Southern Europe","Spain"
807,"Europe","Southern Europe","The former Yugoslav Republic of Macedonia"
" ",,," "
155,,,"Western Europe"
40,"Europe","Western Europe","Austria"
56,"Europe","Western Europe","Belgium"
250,"Europe","Western Europe","France"
276,"Europe","Western Europe","Germany"
438,"Europe","Western Europe","Liechtenstein"
442,"Europe","Western Europe","Luxembourg"
492,"Europe","Western Europe","Monaco"
528,"Europe","Western Europe","Netherlands"
756,"Europe","Western Europe","Switzerland"
" ",,," "
9,,,"Oceania"
53,,,"Australia and New Zealand"
36,"Oceania","Australia and New Zealand","Australia"
554,"Oceania","Australia and New Zealand","New Zealand"
574,"Oceania","Australia and New Zealand","Norfolk Island"
" ",,," "
54,,,"Melanesia"
242,"Oceania","Melanesia","Fiji"
540,"Oceania","Melanesia","New Caledonia"
598,"Oceania","Melanesia","Papua New Guinea"
90,"Oceania","Melanesia","Solomon Islands"
548,"Oceania","Melanesia","Vanuatu"
" ",,," "
57,,,"Micronesia"
316,"Oceania","Micronesia","Guam"
296,"Oceania","Micronesia","Kiribati"
584,"Oceania","Micronesia","Marshall Islands"
583,"Oceania","Micronesia","Micronesia (Federated States of)"
520,"Oceania","Micronesia","Nauru"
580,"Oceania","Micronesia","Northern Mariana Islands"
585,"Oceania","Micronesia","Palau"
" ",,," "
61,,,"Polynesia"
16,"Oceania","Polynesia","American Samoa"
184,"Oceania","Polynesia","Cook Islands"
258,"Oceania","Polynesia","French Polynesia"
570,"Oceania","Polynesia","Niue"
612,"Oceania","Polynesia","Pitcairn"
882,"Oceania","Polynesia","Samoa"
772,"Oceania","Polynesia","Tokelau"
776,"Oceania","Polynesia","Tonga"
798,"Oceania","Polynesia","Tuvalu"
876,"Oceania","Polynesia","Wallis and Futuna Islands"
" ",,," "
,,,"Developed and developing regions c/"
,,,"Developing regions"
2,,,"Africa"
19,,,"Americas excluding Northern America (numerical code 021)"
29,,,"Caribbean"
13,,,"Central America"
5,,,"South America"
142,,,"Asia excluding Japan"
9,,,"Oceania excluding Australia and New Zealand"
,,,"(numerical code 053)"
" ",,," "
,,,"Developed regions"
21,,,"Northern America"
150,,,"Europe"
392,,,"Japan"
53,,,"Australia and New Zealand"
" ",,," "
199,,,"Least developed countries "
4,,,"Afghanistan"
24,,,"Angola"
50,,,"Bangladesh"
204,,,"Benin"
64,,,"Bhutan"
854,,,"Burkina Faso"
108,,,"Burundi"
116,,,"Cambodia"
140,,,"Central African Republic"
148,,,"Chad"
174,,,"Comoros"
180,,,"Democratic Republic of the Congo"
262,,,"Djibouti"
226,,,"Equatorial Guinea"
232,,,"Eritrea"
231,,,"Ethiopia"
270,,,"Gambia"
324,,,"Guinea"
624,,,"Guinea Bissau"
332,,,"Haiti"
296,,,"Kiribati"
418,,,"Lao People's Democratic Republic"
426,,,"Lesotho"
430,,,"Liberia"
450,,,"Madagascar"
454,,,"Malawi"
466,,,"Mali"
478,,,"Mauritania"
508,,,"Mozambique"
104,,,"Myanmar"
524,,,"Nepal"
562,,,"Niger"
646,,,"Rwanda"
882,,,"Samoa"
678,,,"Sao Tome and Principe"
686,,,"Senegal"
694,,,"Sierra Leone"
90,,,"Solomon Islands"
706,,,"Somalia"
736,,,"Sudan"
626,,,"Timor-Leste"
768,,,"Togo"
798,,,"Tuvalu"
800,,,"Uganda"
834,,,"United Republic of Tanzania"
548,,,"Vanuatu"
887,,,"Yemen"
894,,,"Zambia"
" ",,," "
432,,,"Landlocked developing countries "
4,,,"Afghanistan"
51,,,"Armenia"
31,,,"Azerbaijan"
64,,,"Bhutan"
68,,,"Bolivia (Plurinational State of)"
72,,,"Botswana"
854,,,"Burkina Faso"
108,,,"Burundi"
140,,,"Central African Republic"
148,,,"Chad"
231,,,"Ethiopia"
398,,,"Kazakhstan"
417,,,"Kyrgyzstan"
418,,,"Lao People's Democratic Republic"
426,,,"Lesotho"
454,,,"Malawi"
466,,,"Mali"
496,,,"Mongolia"
524,,,"Nepal"
562,,,"Niger"
600,,,"Paraguay"
498,,,"Republic of Moldova"
646,,,"Rwanda"
748,,,"Swaziland"
762,,,"Tajikistan"
807,,,"The former Yugoslav Republic of Macedonia"
795,,,"Turkmenistan"
800,,,"Uganda"
860,,,"Uzbekistan"
894,,,"Zambia"
716,,,"Zimbabwe"
" ",,," "
722,,,"Small island developing States"
16,"SIDS","Small island developing States","American Samoa"
660,"SIDS","Small island developing States","Anguilla"
28,"SIDS","Small island developing States","Antigua and Barbuda"
533,"SIDS","Small island developing States","Aruba"
44,"SIDS","Small island developing States","Bahamas"
52,"SIDS","Small island developing States","Barbados"
84,"SIDS","Small island developing States","Belize"
92,"SIDS","Small island developing States","British Virgin Islands"
132,"SIDS","Small island developing States","Cape Verde"
174,"SIDS","Small island developing States","Comoros"
184,"SIDS","Small island developing States","Cook Islands"
192,"SIDS","Small island developing States","Cuba"
212,"SIDS","Small island developing States","Dominica"
214,"SIDS","Small island developing States","Dominican Republic"
242,"SIDS","Small island developing States","Fiji"
258,"SIDS","Small island developing States","French Polynesia"
308,"SIDS","Small island developing States","Grenada"
316,"SIDS","Small island developing States","Guam"
624,"SIDS","Small island developing States","Guinea-Bissau"
328,"SIDS","Small island developing States","Guyana"
332,"SIDS","Small island developing States","Haiti"
388,"SIDS","Small island developing States","Jamaica"
296,"SIDS","Small island developing States","Kiribati"
462,"SIDS","Small island developing States","Maldives"
584,"SIDS","Small island developing States","Marshall Islands"
480,"SIDS","Small island developing States","Mauritius"
583,"SIDS","Small island developing States","Micronesia (Federated States of)"
500,"SIDS","Small island developing States","Montserrat"
520,"SIDS","Small island developing States","Nauru"
530,"SIDS","Small island developing States","Netherland Antilles"
540,"SIDS","Small island developing States","New Caledonia"
570,"SIDS","Small island developing States","Niue"
580,"SIDS","Small island developing States","Northern Mariana Islands"
585,"SIDS","Small island developing States","Palau"
598,"SIDS","Small island developing States","Papua New Guinea"
630,"SIDS","Small island developing States","Puerto Rico"
659,"SIDS","Small island developing States","Saint Kitts and Nevis"
662,"SIDS","Small island developing States","Saint Lucia"
882,"SIDS","Small island developing States","Samoa"
678,"SIDS","Small island developing States","Sao Tome and Principe"
690,"SIDS","Small island developing States","Seychelles"
702,"SIDS","Small island developing States","Singapore"
90,"SIDS","Small island developing States","Solomon Islands"
670,"SIDS","Small island developing States","Saint Vincent and the Grenadines"
740,"SIDS","Small island developing States","Suriname"
626,"SIDS","Small island developing States","Timor-Leste"
776,"SIDS","Small island developing States","Tonga"
780,"SIDS","Small island developing States","Trinidad and Tobago"
798,"SIDS","Small island developing States","Tuvalu"
850,"SIDS","Small island developing States","United States Virgin Islands"
548,"SIDS","Small island developing States","Vanuatu"
" ",,," "
778,,,"Transition countries d/"
172,,,"Commonwealth of Independent States"
51,,,"Armenia"
31,,,"Azerbaijan"
112,,,"Belarus"
398,,,"Kazakhstan"
417,,,"Kyrgyzstan"
498,,,"Republic of Moldova"
643,,,"Russian Federation"
762,,,"Tajikistan"
795,,,"Turkmenistan"
804,,,"Ukraine"
860,,,"Uzbekistan"
" ",,," "
" ",,,"Transition countries of South-Eastern Europe"
8,,,"Albania"
70,,,"Bosnia and Herzegovina"
191,,,"Croatia"
499,,,"Montenegro"
688,,,"Serbia"
807,,,"The former Yugoslav Republic of Macedonia"
